CHR_UID,CHR_NAME,WQS_NAME,SortOrder,ShortName,ShortNameOLD,Units,USE,ATTAINS_NAME,ATTAINs_GROUP_ID,ATTAINS_GROUP_NAME,ATTAINS_ID,ADB_NO,ADB_NAME,CAS,STORET,SHORT_CAUSE_NAME
624,Benzene,Benzene,64,Benzene,Org_16,ug/l,,BENZENE,1080,TOXIC ORGANICS,172,107,Benzene,,46,
621,Benz[a]anthracene,Benzoaanthracene,63,Benzoaant,Org_15,ug/l,,BENZ[A]ANTHRACENE,1080,TOXIC ORGANICS,188,110,Benzo[a]anthracene,56-55-3,45,
568,Anthracene,Anthracene,62,Anthracen,Org_14,ug/l,,ANTHRACENE,1080,TOXIC ORGANICS,129,94,Anthracene,120-12-7,25,
332,"2,4-Dinitrophenol","2,4-Dinitrophenol",113,"2,4-Dinit",PEST_8,ug/l,,"2,4-DINITROPHENOL",885,PESTICIDES,37,38,"2,4-Dinitrophenol",51-28-5,195,
500,Acenaphthene,Acenaphthene,61,Acenaphth,Org_13,ug/l,,ACENAPHTHENE,1080,TOXIC ORGANICS,75,68,Acenaphthene,83-32-9,2,
410,"3,3'-Dichlorobenzidine","3,3'-Dichlorobenzidine",60,"3,3'-Dich",Org_12,ug/l,,"3,3'-DICHLOROBENZIDINE",1080,TOXIC ORGANICS,52,51,"3,3'-Dichlorobenzidine",91-94-1,173,
358,2-Chloronaphthalene,2-Chloronaphthalene,59,2-Chloron,Org_11,ug/l,,2-CHLORONAPHTHALENE,1080,TOXIC ORGANICS,43,44,2-Chloronaphthalene,91-58-7,116,
333,"2,4-Dinitrotoluene","2,4-Dinitrotoluene",58,"2,4-Dinit",Org_10,ug/l,,"2,4-DINITROTOLUENE",1080,TOXIC ORGANICS,38,39,"2,4-Dinitrotoluene",121-14-2,196,
80,"1,3-Dichloropropene","1,3-Dichloropropene",112,"1,3-Dichl_pro",PEST_7,ug/l,,"1,3-DICHLOROPROPENE",885,PESTICIDES,22,24,"1,3-Dichloropropene",,187,
331,"2,4-Dimethylphenol","2,4-Dimethylphenol",57,"2,4-Dimet",Org_9,ug/l,,"2,4-DIMETHYLPHENOL",1080,TOXIC ORGANICS,36,37,"2,4-Dimethylphenol",105-67-9,194,
330,"2,4-Dichlorophenol","2,4-Dichlorophenol",56,"2,4-Dichl",Org_8,ug/l,,"2,4-DICHLOROPHENOL",1080,TOXIC ORGANICS,35,36,"2,4-Dichlorophenol",120-83-2,182,
316,"2,4,6-Trichlorophenol","2,4,6-Trichlorophenol",55,"2,4,6-Tri",Org_7,ug/l,,"2,4,6-TRICHLOROPHENOL",1080,TOXIC ORGANICS,32,33,"2,4,6-Trichlorophenol",88-06-2,507,
67,"1,2-Dichloropropane","1,2-Dichloropropane",111,"1,2-Dichl_pro",PEST_6,ug/l,,"1,2-DICHLOROPROPANE",885,PESTICIDES,17,21,"1,2-Dichloropropane",78-87-5,183,
65,"1,2-Dichloroethane","1,2-Dichloroethane",110,"1,2-Dichl_eth",PEST_5,ug/l,,"1,2-DICHLOROETHANE",885,PESTICIDES,15,19,"1,2-Dichloroethane",107-06-2,177,
72,"1,2-Diphenylhydrazine","1,2-Diphenylhydrazine",54,"1,2-Diphe",Org_6,ug/l,,"1,2-DIPHENYLHYDRAZINE",1080,TOXIC ORGANICS,19,22,"1,2-Diphenylhydrazine",,200,
58,"1,2,4-Trichlorobenzene","1,2,4-Trichlorobenzene",53,"1,2,4-Tri",Org_5,ug/l,,"1,2,4-TRICHLOROBENZENE",1080,TOXIC ORGANICS,10,14,"1,2,4-Trichlorobenzene",120-82-1,500,
28,"1,1-Dichloroethylene","1,1-Dichloroethylene",52,"1,1-Dichl",Org_4,ug/l,,VINYLIDENE CHLORIDE,1080,TOXIC ORGANICS,1130,419,Vinylidene chloride,75-35-4,179,
25,"1,1,2-Trichloroethane","1,1,2-Trichloroethane",51,"1,1,2-Tri",Org_3,ug/l,,"1,1,2-TRICHLOROETHANE",1080,TOXIC ORGANICS,4,9,"1,1,2-Trichloroethane",79-00-5,503,
24,"1,1,2,2-Tetrachloroethane","1,1,2,2-Tetrachloroethane",50,"1,1,2,2-T",Org_2,ug/l,,"1,1,2,2-TETRACHLOROETHANE",1080,TOXIC ORGANICS,3,8,"1,1,2,2-Tetrachloroethane",79-34-5,485,
21,"1,1,1-Trichloroethane","1,1,1-Trichloroethane",49,"1,1,1-Tri",Org_1,ug/l,,"1,1,1-TRICHLOROETHANE",1080,TOXIC ORGANICS,2,7,"1,1,1-Trichloroethane",71-55-6,502,
312,"2,4,5-Trichlorophenol","2,4,5-Trichlorophenol",48,"2,4,5-Tri",Org_59,ug/l,,"2,4,5-TRICHLOROPHENOL",1080,TOXIC ORGANICS,,,"2,4,5-Trichlorophenol",95-95-4,506,
