"WATER_ID","DU","Waterbody","TN_SITE_CLASS","TP_SITE_CLASS","ECOREGION","ELEVATION","Criteria_Name","Criteria_Value","CHR_UID","CHR_UID_Unique"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","TEMP_4T3","20",999920,"999920"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","TEMP_WQC","23",2849,"2849"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","DO_WQC","6",985,"985"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","SC_WQC","600",1815,"1815"
"NM-2209.A_11","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","7475","TP_WQC","0.1",1674,"1674"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","TEMP_4T3","20",999920,"999920"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","TEMP_WQC","23",2849,"2849"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","DO_WQC","6",985,"985"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","SC_WQC","600",1815,"1815"
"NM-2209.A_20","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6594","TP_WQC","0.1",1674,"1674"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","TEMP_4T3","20",999920,"999920"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","TEMP_WQC","23",2849,"2849"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","DO_WQC","6",985,"985"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","SC_WQC","600",1815,"1815"
"NM-2209.A_21","HQColdWAL","STREAM, PERENNIAL","Moderate","Flat-Moderate","23b","6129","TP_WQC","0.1",1674,"1674"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","TEMP_4T3","20",999920,"999920"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","TEMP_WQC","23",2849,"2849"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","PH_LOW","6.6",1648,"1648b"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","PH_HIGH","8.8",1648,"1648a"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","DO_WQC","6",985,"985"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","SC_WQC","600",1815,"1815"
"NM-2209.A_22","HQColdWAL","STREAM, PERENNIAL","Steep","Steep","23f","6555","TP_WQC","0.1",1674,"1674"
