"CHR_UID","CHR_NAME","FRACTION","DU","Waterbody","PERSISTENT","HD_METAL","TOXIC","TURBAP","UNITS","Criteria_Type","Magnitude_Numeric"
"734","Carbaryl",,"WWAL",,,"N","Y","N","ugL","ACUTE",2.1
"734","Carbaryl",,"WWAL",,,"N","Y","N","ugL","CHRONIC",2.1
"725","Cadmium","Dissolved","ColdWAL",,,"Y","Y","N","mgL","ACUTE",0.00049
"725","Cadmium","Dissolved","ColdWAL",,,"Y","Y","N","mgL","CHRONIC",0.000253
"725","Cadmium","Dissolved","CoolWAL",,,"Y","Y","N","mgL","ACUTE",0.00049
"725","Cadmium","Dissolved","CoolWAL",,,"Y","Y","N","mgL","CHRONIC",0.000253
"725","Cadmium","Dissolved","HQColdWAL",,,"Y","Y","N","mgL","ACUTE",0.00049
"725","Cadmium","Dissolved","HQColdWAL",,,"Y","Y","N","mgL","CHRONIC",0.000253
"725","Cadmium","Dissolved","LAL",,,"Y","Y","N","mgL","ACUTE",0.00049
"725","Cadmium","Dissolved","MCWAL",,,"Y","Y","N","mgL","ACUTE",0.00049
"725","Cadmium","Dissolved","MCWAL",,,"Y","Y","N","mgL","CHRONIC",0.000253
"725","Cadmium","Dissolved","MWWAL",,,"Y","Y","N","mgL","ACUTE",0.00049
